Unit 1,Vocabulary ,What is used to define the total number of things in an area?,Density
Unit 1,Vocabulary ,"Which is more correct: ""Regional"" Scale of Analysis OR ""Country"" Scale of Analysis?",Regional Scale Of Analysis
Unit 1,Vocabulary ,How can another region's typical cuisine define it? (Use unit 1 vocab),it can impact their view of that VERNACULAR/PERCEPTUAL region.
Unit 1,Vocabulary ,What is possibilism?,"The idea of humans having control over their environment and not being limited by it, the idea of possibilities"
Unit 1,Vocabulary ,What is a GPS system?,A system that accurately determines the percise position of something on Earth
Unit 1,Vocabulary ,What is an Isoline Map?,A type of thematic map with lines conjoining value points
Unit 1,Vocabulary ,What are the pros and cons of using a Mercator map projection?,"It is best for wayfinding and absolute directions (locations), but landmasses are extremely distorted as they get farther away from the equator and distances are exaggerated because of this"
Unit 1,Vocabulary ,What is remote sensing?,Gathering of data from satellites and other long distance methods
Unit 1,Application,The midwest region is a part of the united states characterized by the hospitality of those living there and country/home food as the main cuisine. What is this region also called?,Perceptual (Vernacular) Region
Unit 1,Application,"Sam has a map of eastern kenya, showing the voting distrcts that have been divided and income levels of voters there in shades of blue. What kind of map is this? (2 parts)",Thematic Chloropleth Map
Unit 1,Application,"Istanbul is named after the former emperor, and NYC is named after the duke of York. What are these names also called?",Toponyms
Unit 1,Application,Greta Thunberg is an example of a famous climate and environmental activist. What type of geographic is she taking of the environment?,Ecological perspective
Unit 1,Application,"Budapest is around 134 Miles southeast of Vienna, Austria. What type of location is demonstrated?",Relative Location
Unit 1,Application,"India has many places such as temples and historacal buildings that differentiate from other areas, which also defined as...",a place
Unit 1,Application,"When going to school, you can build a image of the route you take inside of your head, which is also called...",a mental map
Unit 2,Vocabulary ,What is the ratio of [Too Old/Young to work] and [Working-Age] persons also called?,Dependency Ratio
Unit 2,Vocabulary ,When the number of people in an area exceeds the capacity of that area,Overpopulation (Exceed Carrying Capacity is also accepted)
Unit 2,Vocabulary ,What is a population projection?,A prediction of the future population of an area
Unit 2,Vocabulary ,Number of males per 100 females in a population,Sex Ratio
Unit 2,Vocabulary ,What are factors that make people want to leave an area and move to a new area also called?,Push and Pull factors
Unit 2,Vocabulary ,"When an immigrant attempts to move to an area and finds a job on the journey there, that is also called...",an Intervening Opportunity
Unit 2,Vocabulary ,"When someone moves from the rustbelt to the sunbelt, they are performing ______ migration",interregional
Unit 2,Vocabulary ,Land that can be used to grow crops is also called what?,Arable Land
Unit 2,Application,"Taiwan has a medium arthmetic density, because 75 percent of the people live there on 1/3 of total available land space. What type of density would be more accurate?",Physiological Density
Unit 2,Application,Why is the current assumptions for working age populations incorrect? (15-64 years are the current working age standards),"Many of those people are not working, and many are also working that are not included, like people over 64 and under 15."
Unit 2,Application,How can the CBR be influenced through migratory factors?,Men who immigrate to a country may cause a low CBR due to the high nmber of men.
Unit 2,Application,What do Neo-Malthusians advocate as a method for reducing population in the future?,Birth control and reducing immigration to low TFR countries
Unit 2,Application,"To move to Austin, I would need to rent a moving truck. To move to Tokyo, I need to obtain citizenship, pack what is necessary only, and pay lots of money for the cargo and the air trip. What is the difference of this called?",friction of distance
Unit 2,Application,Give an example of Chain Migration that has occured previously between 1820 and 1930 (Hint: Potato),"Irish Immigrants moved to the US, due to the potato famine and oppression"
Unit 2,Application,"Bandladesh's Southern Coast has been destroyed by severe erosion and unpredictable, destroying the source of agriculture, and forcing it's residents to move to slums in the inner city. What are these people also called?",Internally Displaced Persons (Forced Migration is INCORRECT)
Unit 3,Vocabulary ,What are Chinatowns an example of?,Ethnic neighborhoods/Ethnic Enclaves
Unit 3,Vocabulary ,What is the rapid and widespread diffusion of something through a population called?,Contagious Diffusion
Unit 3,Vocabulary ,What is a creolized language?,It is when two languages combine together 
Unit 3,Vocabulary ,What is judging a culture based off of it's unique practices?,Cultural Relativism
Unit 3,Vocabulary ,"English is a popular lingua franca, which means that...",It is a common langauge used by speakers of different langagues
Unit 3,Vocabulary ,"Hinduism, Judaism, and Shinto are all examples of what type of religion?",Ethnic Religions
Unit 3,Vocabulary ,What is the ideology by Karl Marx and Friedrick Engels?,Marxism
Unit 3,Vocabulary ,"Hinduism, Shintoism, and Daoism all pray to multiple dieties. They are also called?",Polythesic religions
Unit 3,Application,What are some real world examples of gendered spaces?,"Gendered buses, seperate parks, resturants, trains, public transport"
